"vaccine","country_code","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"HepB","BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.93,0.99,0.56,0.99,0.99,0.98,0.91,0.98,0.98,0.96,0.98,0.97,0.98,0.97,0.99,0.96,0.98,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.96,0.97,0.96,0.97,0.96,0.98,0.96,0.94,0.97,0.96,0.95,0.98,0.95,0.95,0.94,0.95,0.88,0.96,0.98,0.79,0.83,0.84,0.842685238911895,0.845325412148703,0.847921276036076,0.850473574206447,0.852983037812056,0.855450385734405,0.857876324790188,0.860261549933782,0.870261549933782,0.880261549933782,0.890261549933782,0.900261549933782,0.910261549933782,0.920261549933782,0.930261549933782,0.940261549933782,0.950261549933782,0.960261549933782,0.970261549933782,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"HepB","BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.8,0.84,0.85,0.83,0.84,0.88,0.93,0.91,0.95,0.93,0.87,0.85,0.89,0.87,0.84,0.83,0.75,0.68,0.7,0.69,0.698927507786292,0.707597917523313,0.716018633226664,0.724196845688054,0.732139538615809,0.739853494598542,0.747345300897085,0.754621355069616,0.764621355069616,0.774621355069616,0.784621355069616,0.794621355069616,0.804621355069616,0.814621355069616,0.824621355069616,0.834621355069616,0.844621355069616,0.854621355069616,0.864621355069616,0.874621355069616,0.884621355069616,0.894621355069616,0.904621355069616,0.914621355069616,0.924621355069616,0.934621355069616,0.944621355069616,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BTN",0,0,0,0,0,0,0,0,0,0,0,0.16,0.84,0.81,0.9,0.98,0.89,0.83,0.95,0.89,0.95,0.95,0.95,0.96,0.93,0.91,0.95,0.97,0.97,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.45,0.47,0.47,0.23,0.45,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.451104361352966,0.480540651507353,0.508398326134408,0.534762043557923,0.559711922027388,0.583323783194049,0.605669382529771,0.626816627388965,0.636816627388965,0.646816627388965,0.656816627388965,0.666816627388965,0.676816627388965,0.686816627388965,0.696816627388965,0.706816627388965,0.716816627388965,0.726816627388965,0.736816627388965,0.746816627388965,0.756816627388965,0.766816627388965,0.776816627388965,0.786816627388965,0.796816627388965,0.806816627388965,0.816816627388965,0.826816627388965,0.836816627388965,0.846816627388965,0.856816627388965,0.866816627388965,0.876816627388965,0.886816627388965,0.896816627388965,0.906816627388965,0.916816627388965,0.926816627388965,0.936816627388965,0.946816627388965,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.65,0.7,0.75,0.79,0.84,0.91,0.92,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.48,0.63,0.67,0.76,0.77,0.76,0.74,0.81,0.79,0.62,0.82,0.75,0.73,0.79,0.87,0.83,0.84,0.81,0.75,0.76,0.76,0.767546640031249,0.774855980996826,0.781935484607683,0.788792377946243,0.795433660844142,0.801866113027974,0.808096301040349,0.814130584943323,0.824130584943323,0.834130584943323,0.844130584943323,0.854130584943323,0.864130584943323,0.874130584943323,0.884130584943323,0.894130584943323,0.904130584943323,0.914130584943323,0.924130584943323,0.934130584943323,0.944130584943323,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.81,0.82,0.84,0.8,0.84,0.82,0.85,0.89,0.83,0.78,0.75,0.74,0.67,0.67,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.68,0.71,0.6,0.7,0.71,0.71,0.73,0.7,0.7,0.71,0.71,0.73,0.7,0.65,0.65,0.651602748632985,0.653198157828311,0.654786261195332,0.656367092189494,0.657940684113043,0.659507070115722,0.661066283195473,0.662618356199133,0.672618356199133,0.682618356199133,0.692618356199133,0.702618356199133,0.712618356199133,0.722618356199133,0.732618356199133,0.742618356199133,0.752618356199133,0.762618356199133,0.772618356199133,0.782618356199133,0.792618356199133,0.802618356199133,0.812618356199133,0.822618356199133,0.832618356199133,0.842618356199133,0.852618356199133,0.862618356199133,0.872618356199133,0.882618356199133,0.892618356199133,0.902618356199133,0.912618356199133,0.922618356199133,0.932618356199133,0.942618356199133,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.73,0.75,0.74,0.7,0.62,0.85,0.9,0.8,0.71,0.69,0.75,0.79,0.73,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
