"country_code_numeric","country_code","country","year","0-0M","0-0F","1-4M","1-4F","5-9M","5-9F","10-19M","10-19F","20-29M","20-29F","30-39M","30-39F","40-49M","40-49F","50-59M","50-59F","60-69M","60-69F","70-79M","70-79F","80-89M","80-89F","90+M","90+F"
4,"AFG","Afghanistan",1990,0.0144272645016548,0.0140598737284938,0.0190859430058231,0.0176144565846496,0.0181480041872829,0.0165268150180013,0.0203799056563522,0.0187419875998135,0.0219373217331862,0.0204839163603571,0.0226472228323108,0.0212039422108145,0.0226917992384878,0.0210894710428771,0.0221167431439494,0.0204539479915334,0.0216959527125602,0.0202905798290056,0.0210301940087096,0.0200840504231088,0.0199022502177644,0.019529515426717,0.0177955149727816,0.0180149645098296
8,"ALB","Albania",1990,0.0670072118012624,0.0678232956832119,0.1180378556562,0.109557307491607,0.0991265045955098,0.087782668167449,0.1210844077486,0.101191791359302,0.138900843007915,0.108587461498338,0.149910300741707,0.111054990867704,0.157070730934972,0.110982361424059,0.161064358687378,0.110804899386335,0.159334779883327,0.112227860845751,0.143659318212832,0.109443999567423,0.117341486295843,0.10033289416583,0.0833596165250263,0.0800234012947099
12,"DZA","Algeria",1990,0.0144944029050286,0.0280896909243481,0.0195356945562506,0.0388815648030917,0.0192718247512454,0.038445466654324,0.0215943684995332,0.0421895996439957,0.0231260176358995,0.0434957909799179,0.0238153096759895,0.0432391077465056,0.023960536791371,0.0421685843770376,0.0238906024804743,0.0409204464985481,0.0241465783407224,0.0412279096545853,0.0236803711566983,0.0416417083140818,0.0219088964708715,0.0412942309445723,0.0173855417885567,0.0384750775976218
24,"AGO","Angola",1990,0.121477547381114,0.077926637411122,0.150992723363348,0.0947947558670616,0.153258934617511,0.093973484887253,0.166557615846296,0.0988560818222255,0.174130663654534,0.0991682088088599,0.176920505701668,0.0972754267358102,0.177439873928862,0.0945802925191705,0.177576075111456,0.0927974433027425,0.181092139100502,0.0938536953710232,0.183646273143231,0.09512706861906,0.183426672924924,0.0954880551118573,0.178753647439236,0.0939769341285678
31,"AZE","Azerbaijan",1990,0.019648424419388,0.0204628816320253,0.0237654393267284,0.0255597651836434,0.0211545779114325,0.0226801893798304,0.0243984101163988,0.0251737138461962,0.0279984773428445,0.0271513003234192,0.030670519124466,0.0283202565581958,0.0329125870755151,0.0291749546329801,0.0342775592300254,0.030088019086366,0.0352992255410063,0.031194590354933,0.0347917184837179,0.0312357079926932,0.0323003119168434,0.0295282040586849,0.0260103833192093,0.0243297820945882
50,"BGD","Bangladesh",1990,0.0226314002228402,0.0242230880014218,0.0346439585799628,0.0313129842160749,0.0273342243151304,0.0220637111768493,0.0354840733657298,0.0261765375862468,0.0438489805604062,0.0300790816776359,0.0499308063499926,0.0326970082519921,0.0545213385826244,0.034681751420819,0.0593098199712089,0.0370544142227384,0.0635073153439658,0.0387081757301879,0.0665157732509565,0.0398038393176819,0.0670134498402845,0.0403263809978282,0.0589286204226936,0.0391474351333458
51,"ARM","Armenia",1990,0.015903413117159,0.0163380978919663,0.024074662419147,0.0232001314157982,0.0218774150495384,0.0199944734242996,0.0259726584987161,0.0221916687403255,0.0293977056580335,0.0232168203288918,0.0314929009376827,0.0234655367449097,0.0327901183141123,0.0234514254775575,0.0330639236361644,0.0236673138296209,0.03333721894281,0.0243110094768685,0.0325279388913825,0.0243696909179113,0.0306127318911982,0.0234263527505657,0.0264172331248242,0.0205604645552336
64,"BTN","Bhutan",1990,0.0406384002573586,0.0307744579574447,0.0486963532627444,0.0372333225910061,0.0477458289754578,0.03620961926013,0.0521141641737611,0.0386542646422132,0.0558656386650603,0.04030328865879,0.0583910764387252,0.0414204185414176,0.0608885660268613,0.0429266878578841,0.0660239357916782,0.0466952243853562,0.0718812584794789,0.0511198285189993,0.0764862925258213,0.0546993246060246,0.0792968921068942,0.0570354368815243,0.0792217441738734,0.0573681588232737
68,"BOL","Bolivia, Plurinational State of",1990,0.00403964819124742,0.00238495775495327,0.00938565844619871,0.00692054829148656,0.00537086600348424,0.00402936246166834,0.00754632702619179,0.00556777924920574,0.00987664884439598,0.00712779113272612,0.0116708039380062,0.00828897514041618,0.0129661721917416,0.00912487760295798,0.0137246718248073,0.00967498347331155,0.0140034704875983,0.00985140447849745,0.0131851412033277,0.00930692523069793,0.0113744763578349,0.00807223404033826,0.00827040031074577,0.00580277965416892
70,"BIH","Bosnia and Herzegovina",1990,0.0144311293519656,0.0169104392530148,0.0337461650806527,0.0329614151340866,0.0244765298474524,0.0217813411326889,0.0331354627663258,0.0263562681210507,0.0411369534763527,0.0292666827439788,0.0467592070660638,0.0307168383903066,0.0502868615938932,0.0312520226339708,0.0518130243614021,0.0308975064460729,0.0470823156143653,0.0294448640857143,0.0349644398123235,0.0252678906245519,0.0247528393206339,0.0200764325934556,0.0175622361058739,0.0151582474511371
84,"BLZ","Belize",1990,0.0169834823077791,0.0350158463177922,0.0335928566549438,0.0564876822148554,0.0316245365355235,0.048076960872016,0.0390331321539484,0.0538330363672547,0.0450781342271748,0.0561240809780447,0.0486111250091467,0.0560679071069192,0.0503036791801,0.0547705366658888,0.0495574377093075,0.0529040071445179,0.0469500148034502,0.0514260674080021,0.0422173485632595,0.048995576084798,0.035993471853366,0.0454262265682116,0.0276162022449496,0.0398705516386106
90,"SLB","Solomon Islands",1990,0.129958290768513,0.106095396993782,0.182142776529746,0.140900333394638,0.168836646162837,0.124859189310107,0.193785469465402,0.139817803506021,0.2129857077844,0.150603988871024,0.224694569386015,0.152010284124575,0.228898766665939,0.145333752412619,0.222334955324652,0.135586891901271,0.221434772247843,0.131143456657857,0.223288353690152,0.129408177263216,0.225102600851225,0.12865279589369,0.223861203384305,0.127207241167078
104,"MMR","Myanmar",1990,0.0513437475350263,0.0308662530519517,0.0728234534649302,0.0445712275916273,0.0684880916041917,0.0419904307707284,0.080210871435567,0.0466349185506984,0.0908623265197921,0.0480200851498132,0.0967073357447139,0.0469336433372174,0.0955385080451226,0.0440605932243261,0.0817826082842886,0.0395880104420207,0.0709819503722948,0.0363550091152454,0.0632451027821137,0.033411234259779,0.0565909381007224,0.0303022398714524,0.0475989294293051,0.0263490407934
108,"BDI","Burundi",1990,0.0589465509396131,0.0474656057199085,0.0904477669733554,0.0725396275461102,0.0766644834027797,0.0600831045480877,0.0910209677313356,0.0687020442430977,0.103124655272131,0.074881550509494,0.111779236812147,0.0789796324415325,0.118700477276649,0.0822819023309674,0.125585213212619,0.0858597439732617,0.131998510239451,0.0897984920510146,0.134562692693521,0.0911090920549838,0.132746196692881,0.0892308550952751,0.125064615199264,0.0838929935945044
112,"BLR","Belarus",1990,0.128222632253323,0.0464156871798981,0.157238069118448,0.0570520097411314,0.188688416055029,0.0685373863940663,0.198366379357992,0.0710950988330226,0.201852036540278,0.0701982387614846,0.1991965127554,0.0669135352666912,0.191351123714488,0.0614938487473907,0.177149988611439,0.0532321474029359,0.162501328411775,0.0451075737005162,0.14896400957666,0.0387183717737624,0.13850988083459,0.0340162657098979,0.124108736162311,0.0263858188967294
116,"KHM","Cambodia",1990,0.0388103910221113,0.0303716587445326,0.0531407148837367,0.050745080103837,0.045386327394768,0.0466114686911009,0.0528490779243696,0.0550256953273193,0.0586427287659079,0.0600002114675934,0.0622306235454127,0.0622924455203093,0.0636239401694945,0.0626083865786808,0.0611530252086884,0.0608542178347921,0.0593602667457639,0.0601613267793072,0.0569445431758248,0.0587282428665042,0.0532959316158116,0.0558274940003015,0.0475388773688988,0.0504569048356646
120,"CMR","Cameroon",1990,0.0814320648676644,0.0646541808799792,0.0965721491338728,0.0751883666294618,0.0914452449992349,0.0702234538014539,0.100095343537714,0.0758926877814198,0.108229467713331,0.0806004910950258,0.115677736765947,0.0841616285130396,0.124272283253254,0.0879201177537653,0.135496434517884,0.0940551659836479,0.144299337856911,0.101102402251032,0.147551197807546,0.104682389128851,0.145048563285516,0.103429180493421,0.135031725588898,0.0946229874049167
